Id,Nom,Biblio,Type
1,Johnny Hallyday,Chanteur francais né en 1943 et mort en 0217,Chanteur
2,Charles Aznavour,Chanteur francais né en 1924 et mort en 2018,Chanteur
3,Elvis Presley,Chanteur américain né en 935 et mort en 1977,Chanteur
4,Michael Jackson,Chanteur américain né en 1958 et mort en 2007,Chanteur
5,Taylor Swift,Chanteuse américaine née en 1989,Chanteur
6,Dalida,Chanteuse francaise née en 1933 et morte en 1987,Chanteuse
7,Edith Piaf,Chanteuse francaise née en 1915 et morte en 1963,Chanteur
8,Brigitte Bardot,Chantese américaine née en 1934,Chanteur
9,Georges Brassens,Chanteur francais né en 1921 et mort en 1981,Chanteur
10,Michel Berger,Chanteur francais né en 1947 et mort en 1992,Chanteur
11,Eddy Mitchell,Chanteur francais né en et mort en,Chanteur
12,Céline Dion,Chanteuse canadienne née en 1968,Chanteur
13,John Lennon,Chanteur britanique né en 1940 et mort en 1980,Chanteur
14,Whitney Houston,Chanetuse américaine née en 1963 et morte en 2012,Chanteur
15,Bob Dylan,Chanteur américain né en 1941,Chanteur
16,Louis De funès,Acteur francais né en 1914 et mort en 1983,Acteur
17,Gerard Depardieu,Acteur francais né en 1948,Acteur
18,Alain Delon,Acteur francais né en 1935,Acteur
19,Robert De Niro,Acteur américain né en 1943,Acteur
20,Johnny Depp,Acteur américain né en 1963,Acteur
21,Will Smith,Acteur américain né en 1968,Acteur
22,Brad Pitt,Acteur américain né en 1963,Acteur
23,Tom Cruise,Acteur américain né en 1962,Acteur
24,Léonardo DiCaprio,Acteur américain né en 1974,
25,Scarlett Johansson,Actrice américain née en 1984,Acteur
26,Jennifer Lawrence,Actrice américain née en 1990,Acteur
27,Marilyn Monroe,Actrice américain née en 1926 et morte en 1962,Acteur
28,Angelina Jolie,Actrice américain née en 1975,Acteur
29,Emma Stone,Actrice américain née en 1988,Acteur
30,Natalie Portman,Actrice américain née en 1981,Acteur
31,Julia Roberts,Actrice américain née en 1967,Acteur
32,Jennifer Aniston,Actrice américain née en 1969,Acteur
33,Marion Cotillard,Actrice francais né en 1975,Acteur
34,Sylvia Bergé,Comédienne de la comédie francaise depuis 1998 née en 1962,Comédien
35,Alexandre Pavloff,Comédien de la comédie francaise depuis 2002 né en 1974,Comédien
36,Denis Podalydes,Comédien de la comédie francaise depuis 2000 né en 1963,Comédien
37,Guillaume Gallienne,Comédien de la comédie francaise depuis 2005 né en 1972,Comédien
38,Michel Vuillermoz,Comédien de la comédie francaise depuis 2007 né en 1962,Comédien
39,Elsa Lepoivre,Comédienne de la comédie francaise depuis 2007 née en 1972,Comédien
40,Loic Corbery,Comédien de la comédie francaise depuis 2010 né en 1976,Comédien
